키워드,빈도수
국권,51
제안,51
이정표,51
세습,51
포기,51
당하다,51
완성,51
획책,50
통신,50
견지,50
성의,50
실로,50
괄목,50
원자력,50
언제,50
지휘관,50
회견,50
충실,50
선수단,50
입증,50
유감,50
국가관,50
가르치다,50
자립,50
끈질기다,50
소비,50
피해,49
대표단,49
외채,49
튼튼하다,49
본격,49
배우다,49
공정,49
노사,49
자국,49
버마,49
원천,49
엄청나다,49
경영,49
제품,49
훌륭히,49
일반,49
안녕,49
그간,49
주최,49
의의,49
통치,49
상실,49
둘러싸다,48
용납,48
유의,48
마무리,48
봉쇄,48
피땀,48
과감히,48
모범,48
선린,48
싸우다,48
능히,48
예측,48
추방,48
제거,48
테러,48
이룩,48
접촉,48
물질,48
바다,48
일방,48
중추,47
체력,47
격차,47
기타,47
전제,47
비교,47
자존,47
새로이,47
차별,47
사고,47
여기다,47
대치,47
거의,47
전술,47
또는,47
기공식,47
초석,47
공로,47
재산,47
급속,47
긍정,47
금번,47
감명,47
장비,46
이바지,46
감격,46
의무,46
대내외,46
능률,46
파악,46
완공,46
개도국,46
가다듬다,46
앞서다,46
흔들리다,46
방해,46
남남,46
그대로,45
간접,45
기강,45
사정,45
형태,45
작전,45
진전,45
철저,45
일선,45
어깨,45
그만큼,45
행운,45
영농,45
차이,45
정비,45
소요,44
기습,44
개막,44
보존,44
고속,44
준수,44
공직자,44
배전,44
돌아가다,44
유산,44
보유,44
오직,44
창달,44
규탄,44
친구,44
특정,43
흐르다,43
이산가족,43
암살,43
분노,43
건국,43
체결,43
진정,43
눈부시다,43
연방,43
시도,43
정체,43
들어서다,43
젊은이,43
다수,43
기념식,43
격동,42
인종,42
핵심,42
졸업식,42
나머지,42
학부모,42
금하다,42
생기다,42
중단,42
문호,42
대신,42
고비,42
고국,42
이룩하다,42
연결,42
이성,42
마침내,42
난국,42
충분히,42
집중,42
고위,42
불황,42
드높다,42
첨단,42
승화,42
끝나다,42
저지르다,42
농사,42
영국,41
임금,41
경향,41
달리,41
미치다,41
동남아,41
투쟁,41
부르다,41
부대,41
바뀌다,41
선열,41
우위,41
중점,40
전환기,40
설치,40
영토,40
근원,40
단순히,40
지배,40
충족,40
해군,40
떨어지다,40
허용,40
구성,40
의욕,40
재개,40
책임지다,40
부하,40
다각,40
동반,40
자결,40
나타내다,40
표현,40
제대로,40
예술인,40
나까소네,40
가을,40
표하다,40
마지막,40
빠르다,39
순간,39
의장,39
상대,39
절실히,39
빨리,39
민방위,39
앞두다,39
민정당,39
결단,39
규정,39
근로,39
소년,39
풍조,39
되찾다,39
유도,39
살리다,39
소신,39
지리,39
기상,39
주어지다,39
좌절,39
다만,39
얼마,39
인플레,39
스포츠,39
고용,39
보건,39
준공식,39
바쁘다,38
폭발,38
전투,38
충격,38
선언,38
줄이다,38
정통,38
통화,38
공산주의,38
좌우,38
전문가,38
매진,38
사라지다,38
불편,38
일원,38
쌍방,38
혼신,38
뛰어나다,38
부존자원,38
철통,38
특수,38
불법,38
동참,38
가난,38
금년도,38
정열,38
식민,38
재원,37
여객기,37
동서,37
디딤돌,37
도덕,37
보전,37
임지,37
장애,37
속히,37
북괴,37
기지,37
구호,37
편성,37
비중,37
상당,37
표시,37
일치,37
포부,37
결속,37
후손,37
정보,37
반면,36
관점,36
간첩,36
긴밀하다,36
걸음,36
변하다,36
고무,36
한데,36
직분,36
선조,36
범위,36
불굴,36
다소,36
전폭,36
시일,36
신임,36
군대,36
빠지다,36
흑자,36
자질,36
지상,36
철저히,36
철수,36
확장,36
안팎,36
훌륭하다,35
머물다,35
당사자,35
일련,35
바야흐로,35
동북아시아,35
가중,35
공감,35
참으로,35
이래,35
응징,35
이름,35
커지다,35
총재,35
상수도,35
수도,35
재해,35
단일,35
서구,35
수난,35
언급,35
문제점,35
일상,35
면학,35
거주,35
절차,35
활기차다,34
전문,34
골고루,34
특성,34
대원,34
대한,34
청렴,34
더욱이,34
신사,34
유일,34
근래,34
후방,34
청년,34
아침,34
교통,34
논리,34
전혀,34
동아시아,34
배치,34
안기다,34
다목적,34
고급,34
못지않다,34
감안,34
브루나이,34
명실상부,34
임관,34
봉고,34
보고,34
받아들이다,34
간섭,34
기술진,34
벌이다,34
발자취,34
한시,34
전투기,34
원인,34
닥치다,34
평소,34
만남,33
천명,33
또다시,33
악화,33
합동,33
스리랑카,33
폐쇄,33
동원,33
새로,33
선양,33
숙원,33
분석,33
압도,33
믿음,33
사용,33
뼈저리다,33
반응,33
사기,33
그리다,33
불의,33
쇄신,33
굳세다,33
항공기,33
인기,33
헌장,33
이전,33
사전,33
반성,33
종사,33
망상,33
나가다,33
동남아시아,33
농민,33
마르코스,33
기다리다,33
대부분,33
수년,33
여타,33
단순,33
리셉션,32
모시다,32
여행,32
자주국방,32
착실하다,32
해치다,32
욕구,32
찬양,32
낭비,32
즉각,32
자유세계,32
전화,32
조리,32
수상자,32
자이르,32
일시,32
총력,32
수많다,32
설비,32
호기,32
유공자,32
연마,32
원하다,32
함양,32
생명력,31
채택,31
간직,31
차질,31
위주,31
선출,31
전면,31
군인,31
진운,31
조속히,31
각료,31
영원히,31
마디,31
재일,31
주목,31
대체,31
배경,31
단절,31
새기다,31
고향,31
물리치다,31
친선,31
통합,31
간곡히,31
자라나다,31
기꺼이,31
열매,31
국위,31
우방국,31
코스타리카,31
여야,31
유치,31
교란,31
정치사,31
경정,31
어업,31
사항,31
오로지,30
공공,30
영위,30
다행,30
초월,30
제기,30
공약,30
심의,30
캄푸챠,30
찬사,30
처리,30
실감,30
너무,30
담기다,30
타국,30
감회,30
솔선수범,30
계승,30
형편,30
응하다,30
밀접,30
차관,30
숙녀,30
전후방,30
저지,30
정기,30
척결,30
서방,30
영도력,30
시행,30
격추,30
협의회,30
걸리다,30
예정,30
맡기다,30
앞길,30
비약,30
주곡,30
제출,30
급속히,30
노리다,30
후보,30
활기,29
소위,29
도착,29
투기,29
자부심,29
접하다,29
자기,29
더불어,29
일체,29
조선,29
실적,29
수용,29
장벽,29
투표,29
제한,29
제정,29
뿌리내리다,29
심각하다,29
개정,29
누차,29
휴전선,29
열의,29
경축,29
공포,29
돌리다,29
전적,29
널리,29
상기,29
비결,29
합작,29
임직원,29
토의,29
가뭄,29
선전,29
자조,29
오판,29
해운,29
일관,29
따라서다,29
고장,29
알리다,29
복구,29
기술자,29
일체감,29
범죄,28
자각,28
만약,28
디우프,28
정신력,28
답사,28
크나크다,28
경제력,28
용의,28
열쇠,28
세출,28
이외,28
신명,28
혁명,28
연대,28
파동,28
영공,28
물결,28
활짝,28
국민정신,28
타개,28
대동,28
모순,28
인하,28
대국,28
실업,28
접근,28
조기,28
방글라데시,28
쓰라리다,28
공동체,28
과연,28
시각,28
폐습,28
시찰,28
정확히,28
충정,28
충돌,28
참화,28
친절,28
엘샤드,28
화해,28
제약,28
야욕,27
벅차다,27
실전,27
장려,27
일각,27
살아가다,27
거래,27
필승,27
투철하다,27
진작,27
극한,27
악순환,27
당당,27
준법정신,27
국면,27
한계,27
아랍,27
자산,27
오래,27
표창,27
자치,27
억지,27
설계,27
위장,27
하여금,27
발견,27
파키스탄,27
여론,27
해제,27
야기,27
설정,27
집념,27
충실히,27
지휘,27
만성,27
분쇄,27
불철주야,27
협상,27
절대로,27
동력,27
배가,27
감소,27
타락,27
청와대,27
징표,26
고속도로,26
후반,26
재판,26
방송,26
용사,26
강력히,26
겨루다,26
움직임,26
모국,26
작정,26
보급,26
나미비아,26
해상,26
중앙,26
고치다,26
보살피다,26
혼자,26
배제,26
원활,26
원가,26
내지,26
진통,26
저녁,26
훨씬,26
개편,26
부품,26
심혈,26
발전소,26
방미,26
참뜻,26
회계,26
동족상잔,26
여전히,26
오염,26
편의,26
적정,26
양심,26
독일,26
확실히,26
견인차,26
영령,26
밑거름,26
보답,26
곳곳,26
외국인,26
보험,26
의회,26
피하다,26
소리,26
혈맹,26
존엄,26
후퇴,26
기수,25
유리,25
약화,25
각기,25
지름길,25
허심탄회,25
막중하다,25
올바로,25
외무부,25
진입,25
타협,25
인재,25
축제,25
진실,25
여하,25
왕조,25
든든하다,25
덧붙이다,25
어린이,25
일본국,25
재난,25
각층,25
조사,25
공감대,25
동양,25
미흡,25
혈안,25
정확,25
라이베리아,25
취약,25
직업,25
동향,25
집약,25
빈약,25
수확,25
목격,25
충성,25
맞추다,25
상공,25
단호히,25
단위,25
권익,25
면모,25
경비,25
수범,24
재임,24
저변,24
늦추다,24
성탄절,24
업무,24
정예,24
각박하다,24
확정,24
일찍이,24
유가족,24
금세기,24
궤도,24
조장,24
아프다,24
종지부,24
파견,24
방심,24
살펴보다,24
동맹국,24
진리,24
항공,24
공영,24
종교,24
토론,24
보위,24
다변,24
결심,24
거치다,24
조류,24
이행,24
프렘,24
임하다,24
대한항공,24
전후,24
작용,24
터키,24
헌화,24
되살리다,24
저항,24
외화,24
공업국,24
은행,24
민의,24
개국,23
기량,23
아픔,23
주지,23
병력,23
다행히,23
융성,23
신화,23
상대방,23
임원,23
아프가니스탄,23
집착,23
외세,23
대의원,23
유능,23
공고하다,23
발판,23
조약,23
바르다,23
수렴,23
아시아인,23
자급,23
살피다,23
교포,23
명예,23
격의,23
설립,23
단임,23
미합중국,23
공세,23
국제의회연맹,23
더없이,23
맞이,23
고질,23
진정하다,23
충만,23
풍년,23
낙후,23
부모,23
호소,23
남아프리카,23
소녀,23
단지,23
발돋움,23
발족,23
감동,23
개발도상국가,23
첩경,23
유발,23
격려사,23
도달,23
앞서,23
노동,23
서민,23
발표,23
보편,23
숱하다,23
만전,23
대의,23
형제,23
편리,22
자예와르,22
언어,22
데네,22
선포,22
성찰,22
독창,22
묵묵히,22
분수령,22
교섭,22
숭고하다,22
명복,22
다방면,22
자위,22
수급,22
착수,22
지정학,22
유례,22
한민족,22
장치,22
등장,22
항만,22
선인,22
살림,22
장군,22
해양,22
구심점,22
집행,22
그날,22
긴밀히,22
영접,22
성적,22
앞세우다,22
성실히,22
소모,22
시절,22
돌아보다,22
살상,22
건안,22
분배,22
투입,22
명랑,22
따뜻하다,22
규범,22
기만,22
태어나다,22
용수,22
장소,22
앞장,22
웅비,22
한국민,22
전념,22
순조,22
개개인,22
탄생,22
지아 울 하크,22
신문,22
꾸준하다,22
각계각층,22
국산,22
존립,22
자제,22
넘어서다,22
짊어지다,22
분산,21
무모,21
재회,21
공개,21
부상,21
생사,21
국회의원,21
선결,21
높아지다,21
권한,21
불리,21
공해,21
진취,21
자녀,21
방방곡곡,21
거대,21
중소,21
일어서다,21
광역,21
바람,21
경륜,21
발달,21
다하다,21
수행원,21
눈앞,21
평양,21
없애다,21
샤가리,21
모질다,21
상반기,21
외래,21
때로,21
그때,21
기능인,21
그릇,21
가름,21
비상,21
사심,21
상충,21
이란,21
상식,21
물려주다,21
취지,21
탈피,21
따뜻이,21
영세민,21
소기,21
명백히,21
드러내다,21
영역,21
상처,21
지우다,21
이야기,21
잠시,21
성큼,21
폐허,21
무리,21
개천절,21
적대,21
사회악,21
수산,21
핏줄,20
비서실장,20
감비아,20
불가결,20
국립,20
감히,20
중화학,20
상세히,20
고유,20
가로막다,20
지양,20
일자리,20
택하다,20
대중,20
공직,20
책임감,20
흔히,20
줄어들다,20
수해,20
순수,20
증액,20
현명,20
격퇴,20
광주,20
거세다,20
한때,20
던지다,20
방어,20
합법,20
단체,20
정력,20
내다보다,20
회사,20
활약,20
맹방,20
수자원,20
구하다,20
내세우다,20
움직이다,20
선봉,20
돈독히,20
수여,20
현행,20
열성,20
좌표,20
학문,20
일치단결,20
다원,20
행정부,20
매년,20
내각,20
재미,20
반목,20
특권,20
원리,20
결합,20
기리다,20
하나하나,20
회피,20
참전,20
접어들다,20
처지,20
교원,19
성격,19
바라보다,19
교황,19
구국,19
너무나,19
자와라,19
연수,19
공비,19
지나가다,19
극동,19
일제,19
부작용,19
개탄,19
실효,19
훗세,19
점령,19
당장,19
랭군,19
적용,19
기적,19
들이다,19
필수,19
전달,19
기념,19
주인공,19
상공인,19
웅변,19
처우,19
순국,19
국익,19
생업,19
불태우다,19
증산,19
자멸,19
일념,19
피력,19
패기,19
감행,19
외치다,19
법치,19
피해자,19
보도,19
분별,19
활발히,19
초기,19
민단,19
훈장,19
소중하다,19
다가서다,19
야만,19
일신,19
상부상조,19
열망,19
체육인,19
요체,19
안목,19
일대,19
각고,19
약하다,19
낙관,19
마음껏,19
장점,19
화목,19
개입,19
포장,19
각별히,19
쟁취,19
파생,19
보상,19
벌어지다,19
외상,19
솔선,19
인격,19
장하다,19
배려,19
경축사,19
숙명,19
경고,19
가윰,19
공인,19
군비,19
홍수,19
동란,19
착공,19
빛내다,19
축소,18
정하다,18
이산,18
근거,18
외자,18
얼룩지다,18
잇달다,18
엿보다,18
하반기,18
둔화,18
농수산물,18
각각,18
북쪽,18
예비,18
담화,18
기자,18
그리,18
총학장,18
금지,18
되돌다,18
철학,18
육군사관학교,18
단행,18
압력,18
시행착오,18
공작,18
요원,18
넘기다,18
쌍무,18
총리,18
월남,18
호주,18
지주,18
명제,18
과열,18
하루속히,18
소비자,18
사치,18
수련,18
속도,18
주재,18
이스라엘,18
지난번,18
극단,18
놀라다,18
개회식,18
연면,18
레바논,18
식생활,18
외침,18
교사,18
까라소,18
전복,18
몰디브,18
만반,18
로스엔젤레스,18
외형,18
실상,18
교차,18
대량,18
유럽,18
전투력,18
잠정,18
군경,18
원자재,18
불타다,18
병폐,18
근절,18
부산,18
요르단,18
조상,18
특별히,18
부정부패,18
보호주의,18
곤경,18
가급적,18
승패,17
필연,17
광복절,17
칼리파,17
현안,17
비원,17
극대,17
지대,17
부총리,17
파멸,17
양식,17
비축,17
소속,17
대업,17
승인,17
정규,17
모임,17
외교관,17
조달,17
기업가,17
창출,17
상응,17
고립,17
교수,17
전당,17
빚어지다,17
선배,17
천황,17
제5공화국,17
한국군,17
대양,17
들어오다,17
성패,17
이질,17
약동,17
아주,17
건립,17
기념비,17
기금,17
여유,17
모이,17
육군,17
본연,17
나란히,17
자력,17
참사,17
건설역,17
통제,17
펼쳐지다,17
허점,17
한결같이,17
경기력,17
왕국,17
되돌아보다,17
내년도,17
메시지,17
