키워드,빈도수
여야,456
중소,456
프랑스,456
고장,454
불편,454
직결,453
실패,453
장애인,453
남침,452
이름,452
대외,451
침투,451
풍요,451
조화,450
주한,450
예산안,449
실정,449
곳곳,448
비추다,448
이바지,447
이행,447
받아들이다,446
축복,446
추세,445
다만,445
인프라,445
반영,445
멀리,444
최초,443
일정,443
인천,443
운명,443
사명감,442
기조,442
비판,441
심화,440
상당히,440
경찰관,440
지구촌,440
마치다,439
외국인,438
진정,438
비상,437
특별히,437
만찬,437
빠지다,437
창업,437
교환,436
공보실,436
상징,436
정비,436
원수,436
표시,435
의존,435
참가,434
날로,434
오래,434
우리,433
합동,433
억제,433
조상,432
증강,431
의무,430
가속,430
고치다,430
통과,430
준공,429
구하다,427
노선,427
총재,426
기존,425
의의,425
세계사,423
결단,422
강력히,422
부패,422
청산,421
회원국,421
사례,420
중동,419
그만큼,418
급속,417
수단,417
아침,415
집행,415
적화,414
자신감,414
강국,413
들어서다,413
터전,413
하늘,413
다소,413
동서,412
공고히,412
마무리,411
고난,410
공격,410
애국심,409
보건,409
당당,409
믿음,408
거리,408
공부,408
책무,407
휴전,407
공보처,406
지나가다,406
철저히,406
완전,405
난관,405
직책,405
베트남,405
이북,405
융합,404
지내다,403
장벽,403
시일,402
위상,402
청와대,402
벌써,402
주력,397
대륙,397
멕시코,397
부르다,397
되새기다,397
금년도,397
능률,395
비료,394
업무,393
달하다,393
보편,393
순간,392
일행,392
부강,392
스포츠,392
일선,391
원자력,391
안녕,391
호국,390
조속히,390
농가,389
선열,389
그때,389
각별,388
새로이,387
모색,386
과연,385
대열,384
유산,384
당장,384
동참,384
신속,384
사의,383
분자,383
박람회,383
되찾다,382
축제,382
거부,382
풍토,382
재건,381
보유,381
대부분,381
공개,380
유우,379
걸리다,379
평생,379
농사,379
보도,379
피하다,378
시절,378
탄소,377
비교,376
경제인,376
확고히,376
의도,376
제일,376
체질,375
주인,375
조선,374
제조업,373
사항,373
흐르다,373
측면,373
화학,373
구성,372
구호,372
의회,372
침략자,372
직장,372
동아시아,372
거대,371
세월,371
대신,370
동원,369
재원,369
작정,368
설립,366
없애다,366
알차다,365
국무,365
회원,365
기강,364
자조,364
제출,363
차질,363
장애,362
인도네시아,362
언제,362
편성,361
여론,361
공포,361
대국,360
정립,360
어떠하다,360
매진,359
반세기,359
건국,359
원천,358
내각,358
경계,357
부응,357
시키다,357
절차,357
남녀,356
기념식,356
입각,356
견해,356
박차,355
빌리다,355
지배,355
원인,355
눈부시다,355
귀하,354
재난,354
제반,353
개헌,353
필수,353
고르바초프,352
놓이다,352
충실,352
돌아오다,352
절대로,350
정체,350
원전,349
투입,348
굳건히,347
제정,347
침체,346
기준,346
기지,346
긴밀히,345
비리,345
분명,345
보전,345
차이,343
가득,342
중단,341
줄기차다,341
낭비,340
튼튼히,340
부흥,339
어제,338
공약,338
궁극,337
부대,337
아프다,336
호소,336
이렇게,336
공통,335
힘들다,335
역점,335
널리,335
점검,334
제한,334
공조,334
값지다,334
물질,334
수송,333
공간,333
축사,333
긍정,332
견지,332
흔들리다,331
전투,330
벤처,330
따라서다,330
성명,329
존재,329
관행,328
복합,328
일원,328
하여금,327
한강,327
도덕,327
기풍,326
그치다,326
종교,326
자산,326
방면,325
조약,325
호주,325
영원히,325
다수,324
베풀다,324
전환기,324
개량,324
생태,324
운용,324
대중,324
제거,323
바람,323
바이오,323
부여,323
복리,323
인민,322
농산물,322
예방,322
난국,321
능동,321
비로소,320
경비,320
과감히,319
부동산,319
현안,319
또다시,318
비용,318
여전히,317
공산군,317
세계인,317
전적,317
유익,316
자부심,316
선동,315
아이디어,315
철저,315
적자,314
상대,314
그리다,314
국왕,313
아무쪼록,313
군사력,313
맞추다,313
좌우,313
까닭,312
유공자,312
들이다,312
걸음,311
형태,311
전화,311
보람차다,310
적십자,310
대가,310
일치,310
헌정,309
자발,309
규정,309
아픔,309
시각,308
헤치다,308
시도,308
품질,307
반성,306
중추,306
긴급,306
자라다,305
국권,305
은행,305
소명,305
내다보다,305
권력,305
독재,305
마음껏,304
기상,304
불신,304
한계,304
혹은,304
고비,303
차관,303
옮기다,303
채택,303
예측,303
의심,303
서두르다,302
핵무기,302
도처,302
헌장,301
역경,301
영령,301
사라지다,300
불교,300
주어지다,300
지나치다,300
감격,300
작전,300
평소,299
연말,299
놀라다,299
지표,299
변혁,298
전후,298
실명,298
소통,297
학부모,297
되풀이,297
윤리,297
동북아시아,297
하나하나,297
헝가리,296
옛날,296
자녀,296
불굴,296
신임,296
교수,295
중화학,295
일층,295
즉각,295
내실,295
임시,295
인터넷,295
취업,295
달리,295
지시,294
급속히,294
평균,293
아세아,293
도와주다,292
곤란,292
계승,292
책임자,292
외면,292
체험,291
머리,290
선포,290
금리,290
탄생,289
요즘,289
결합,289
끊임없다,288
마침내,287
역군,287
방해,287
재외,287
토지,286
세금,286
자유세계,286
비단,286
맞이하다,286
항공,284
선정,284
돌리다,284
보존,284
보통,283
정리,283
태어나다,283
평등,283
책임지다,283
안심,283
피땀,283
앞두다,283
마디,281
표현,281
임하다,281
폐하,281
역내,281
항만,280
통치,280
법률,280
유감,280
중간,279
눈물,279
전자,279
선출,279
살아가다,279
기약,279
발굴,278
가르치다,277
충격,277
유가족,277
여하,277
진입,277
학원,276
사기,276
지대,276
주최,276
행운,276
전혀,275
접근,275
목소리,275
고무,275
근로,275
총화,275
개발도상국,275
막강,275
발전소,274
모시다,274
엑스포,274
영상,274
선박,274
가리다,273
백성,273
일관,273
프로그램,272
규범,271
둘러싸다,271
초래,271
경축,271
취약,271
경향,270
저해,270
비중,270
다행히,270
파견,269
개막,269
상공인,269
단절,269
내년도,268
울산,268
착공,268
경제력,268
창간,268
투명,268
절감,268
교육자,268
챙기다,267
능히,267
일인,267
집권,267
감회,267
환대,266
제국,266
맡기다,265
머지않다,265
연간,265
성의,265
감동,265
강력,265
수용,264
싸움,264
도달,264
절실히,263
간첩,263
진실,263
높아지다,263
정통,262
폭넓다,262
국교,262
민자당,261
제고,261
연계,260
범위,260
폐허,260
비즈니스,260
혼신,260
설계,260
결속,260
여당,260
따뜻하다,260
무너지다,260
결집,260
복구,259
어깨,259
뛰어나다,259
기술자,259
단순,259
정화,258
호응,258
지상,258
미사일,257
일시,257
영농,257
역동,257
전당,257
가을,257
철수,257
잠시,257
기공식,257
중남미,256
일단,256
배출,256
괴뢰,256
끊임없이,256
어업,256
점점,256
더욱이,256
병원,256
눈앞,256
새삼,256
전면,256
초기,255
소요,255
풍조,255
유통,255
자기,255
실업,254
부시,254
소임,254
사전,254
오랫동안,254
축적,254
여망,253
과시,253
내놓다,253
동양,253
모델,252
타협,252
부정부패,252
긴밀하다,252
대사,252
기필코,251
고향,251
부가,251
사회주의,250
설정,250
기업가,250
열망,250
벌이다,250
애로,250
휴전선,250
특수,250
제기,249
진영,249
쇄신,249
일상,249
졸업식,249
정복,248
임관,248
부상,248
착실히,248
노예,248
기금,247
넘어서다,247
외화,247
직시,247
대남,246
공비,246
유시,246
모스크바,246
다행,246
국경,246
위주,245
오로지,245
개도국,245
극히,245
수년,245
공감,245
국난,245
세제,244
단순히,244
직업,244
다루다,244
염려,244
법안,243
이하,243
지출,243
신설,243
활짝,243
자각,243
미흡,243
파트너,243
양보,243
석탄,242
토의,242
정기,242
희망차다,241
더우기,241
주석,241
전제,241
정진,241
초석,241
용납,240
소신,240
건물,240
배려,240
시험,240
단위,240
콘텐츠,240
존엄,240
창립,240
개통,240
자유당,239
투기,239
과감하다,239
약자,239
영역,238
동족,238
공존,238
향후,238
주제,238
가까이,237
역대,237
너무나,237
연구소,237
안기다,237
고립,237
권위주의,237
식품,237
선배,236
척결,236
위원장,236
물리치다,236
자존,236
근무,236
간직,236
융성,236
보상,235
부인,235
감축,235
일어서다,234
노리다,234
도상국,234
선조,234
친선,234
호혜,234
발달,233
호남,233
국빈,233
확고하다,233
고생,233
꽃피우다,232
자행,232
입증,232
고민,232
흑자,232
병력,231
강대국,231
일찍이,231
영토,231
가로막다,230
나머지,230
일방,230
내지,230
보답,230
실적,230
상생,229
분쇄,229
형제,229
재해,229
다하다,229
법치,229
벅차다,229
이룩,228
타개,228
적어도,228
실력,228
간곡히,228
다각,228
굳건하다,227
욕구,227
지리,227
맞춤,227
외부,226
그야말로,226
공항,226
말미암다,226
정확,226
한글,226
오찬,226
좌절,225
처우,225
당초,225
파동,225
초월,225
