키워드,빈도수
확고히,20
헌신,20
전략,20
선출,20
전력,20
헌정,20
여망,20
합의,20
아끼다,20
규정,20
스스로,20
충격,20
아라비아,20
꾸준히,19
요청,19
우려,19
기틀,19
기강,19
보호,19
경우,19
신뢰,19
환경,19
선동,19
인하다,19
지키다,19
그리하다,19
행정,19
제의,19
사의,19
각국,19
보이다,19
자신,18
이상,18
지도자,18
산유국,18
도시,18
직분,18
대책,18
국내외,18
기업인,18
부문,18
공사,18
다음,18
기본,18
각계,18
안녕,17
공급,17
완화,17
기계,17
정상,17
입각,17
국난,17
비추다,17
귀하,17
경험,17
노사,17
특별,17
일부,17
전반,17
진흥,17
나아가다,17
만들다,17
달성,17
국론,17
지혜,17
일련,17
소득,17
각자,17
동시,17
공산주의자,17
건전,17
담화,16
권한,16
국군,16
자주,16
국왕,16
화학,16
육성,16
재개,16
대다수,16
굳건히,16
실정,16
복지,16
그간,16
우방,16
진행,16
광주,16
동포,16
긴급,16
호국,16
방지,16
학생,16
효율,16
시작,16
염원,15
수준,15
결정,15
위협,15
마음,15
구축,15
균형,15
분쟁,15
개척,15
전개,15
치안,15
주력,15
도전,15
치사,15
질문,15
대립,15
오늘날,15
향하다,15
작금,15
학교,15
초래,15
박정희,15
전망,15
그러다,15
임무,15
우선,15
증산,15
아시아,15
식량,15
대행,15
대표,15
전환기,14
기간,14
자세,14
상태,14
해군,14
봉사,14
적화,14
요인,14
민족사,14
목적,14
해제,14
뭉치다,14
역량,14
걸치다,14
튼튼히,14
장병,14
여건,14
대회,14
거두다,14
가장,14
차원,14
혼미,14
시민,14
더불다,14
종합,14
정성,14
서로,14
위원회,14
이념,14
교류,14
경기,13
참석,13
버리다,13
침투,13
대남,13
간곡히,13
격동,13
격화,13
축하,13
결코,13
안기다,13
성명,13
마무리,13
증가,13
답변,13
제도,13
바로,13
서거,13
명심,13
시정,13
깃들다,13
책동,13
완수,13
무력,13
준비,13
기술진,13
영광,13
이양,13
작업,13
난제,13
내용,13
행복,13
지니다,12
성공,12
제고,12
능력,12
앙등,12
장래,12
개최,12
설치,12
소비,12
쇄신,12
농업,12
설정,12
미래,12
취임사,12
애쓰다,12
추이,12
대학,12
착실히,12
합리,12
내부,12
물가,12
지지,12
대외,12
악화,12
이루어지다,12
인류,12
부담,12
아프가니스탄,12
귀빈,12
민생,12
공식,12
사랑,12
방향,12
실천,12
담당,12
국회,12
의장,12
지시,12
기관,12
국면,12
규모,12
점차,12
산유,12
중단,12
대동단결,12
민주주의,12
배양,12
이른바,12
진전,12
시장,12
협동,12
국기,11
현행,11
대학원,11
파동,11
높이,11
관리,11
수반,11
시위,11
회복,11
입장,11
전쟁,11
모르다,11
영농,11
융성,11
아래,11
애족,11
해외,11
여러분,11
이용,11
합헌,11
선수,11
발전소,11
사건,11
발생,11
원칙,11
직장,11
방침,11
당시,11
전기,11
인력,11
아직,11
심화,11
체육,11
자문,11
고위,11
변천,11
철통,11
선진,10
위치,10
악용,10
행위,10
풍토,10
장교,10
부족,10
착실하다,10
수급,10
단지,10
주택,10
구조,10
위로,10
정립,10
분발,10
계시다,10
외면,10
장비,10
설명,10
각급,10
지방,10
청소년,10
혼연일체,10
개헌,10
존중,10
정비,10
조정,10
수많다,10
계승,10
여전히,10
내일,10
투자,10
