키워드,빈도수
중점,31
충실,31
레저,31
국왕,31
가꾸다,31
구호,31
순간,31
밑거름,31
다리,31
괜찮다,31
강자,31
김정일,31
폭넓다,31
모자라다,31
감시,31
성적,31
단순,31
심의,31
한국인,31
공헌,31
고난,31
공항,31
감수,31
마치,31
창의력,31
설사,31
걸림돌,31
지대,31
내년도,31
막강,31
어르신,31
표하다,31
로드맵,31
달라다,31
확고히,31
경협,31
환대,31
담기다,31
선수단,31
조세,31
회사,31
특수,31
피부,30
만남,30
시도,30
비추다,30
시키다,30
가입,30
지정,30
공군,30
새로,30
재난,30
당면,30
공천,30
의심,30
실시,30
이공,30
성의,30
가계,30
실제,30
몰리다,30
도와주다,30
모양,30
베이징,30
그저,30
주식,30
불의,30
시정,30
돌리다,30
선두,30
터지다,30
영령,30
지나치다,30
작업,30
내실,30
동원,30
앞두다,30
어리다,30
비핵,29
핵무기,29
부총리,29
중소,29
금리,29
정서,29
오랫동안,29
당적,29
생존,29
임관,29
일상,29
영세,29
눈부시다,29
확고하다,29
약하다,29
철저,29
분리,29
형태,29
소방,29
임하다,29
고생,29
스포츠,29
배분,29
전진,29
손색,29
주인,29
일일이,29
주문,29
전면,29
가득,29
완성,29
주거,29
반도체,28
변방,28
중심지,28
기분,28
자기,28
쌓이다,28
그리스,28
고이즈미,28
출신,28
차근차근,28
지체,28
접근,28
냉정,28
안팎,28
진작,28
꺼내다,28
지난달,28
사기,28
발언,28
공포,28
일구다,28
비극,28
솔직히,28
매일,28
신장,28
대우,28
사용,28
욕심,28
오시다,28
다행,28
걸맞다,28
심정,28
이양,28
정체,28
머무르다,27
점점,27
브리핑,27
기조,27
소명,27
이동,27
외부,27
싱가포르,27
어업,27
탈당,27
축복,27
가하다,27
참가,27
거리,27
교체,27
어쩌다,27
사명감,27
눈치,27
금강산,27
배출,27
심판,27
비준,27
경북,27
근로,27
규명,27
찬성,27
유산,27
태세,27
교통,27
지구,27
민심,27
연말,27
절감,27
흔히,27
국민연금,27
은행,27
분쟁,27
선출,27
지내다,27
의혹,27
자격,27
비슷하다,27
편안,26
살아가다,26
밀리다,26
국방력,26
버티다,26
달리,26
간접,26
초기,26
예상,26
독도,26
진정,26
지지도,26
공연,26
대출,26
시각,26
취업,26
타결,26
공감,26
보유,26
