키워드,빈도수
전개,871
기적,871
처하다,867
뿌리,865
회장,864
그리하다,864
차례,863
다가오다,861
부패,859
시점,858
친구,857
혜택,856
유치,855
수입,852
가격,852
보고,851
외국인,851
전문,850
동아시아,847
상품,847
국내외,843
엄청나다,843
대전,843
단합,843
제의,843
앞당기다,843
장교,841
위로,840
우방,838
방식,837
분명히,837
위치,836
현상,836
목적,834
영국,833
아이,832
의장,831
대상,831
월남,829
우려,829
조건,828
이전,828
애국,827
자문,825
제품,821
우주,818
신문,814
미군,812
염원,811
판단,810
가입,810
잠재력,809
구상,809
열정,804
알리다,801
조선,800
오르다,799
마찬가지,799
사례,799
생존,797
여야,797
방한,796
무장,795
예정,794
어린이,794
장애인,791
작업,789
백신,788
거의,787
전부,787
신속,786
달라지다,784
넓히다,783
각별,782
중소,782
중앙,781
주역,780
그대로,779
예상,777
취하다,776
식량,774
공직자,774
돌아가다,774
세상,773
펼치다,768
가난,767
어리다,766
받아들이다,765
이행,765
당원,763
설치,763
자신감,763
훨씬,762
프랑스,761
협상,760
답변,760
바뀌다,760
재난,757
무대,756
포기,754
예비군,753
한국인,752
명예,750
후손,750
아무리,749
기르다,749
기념,748
인상,748
완성,747
변하다,746
민족사,745
임금,744
점차,743
제조업,743
광복,743
창업,743
흐름,742
정성,742
현대,741
일상,741
기하다,740
전문가,738
사용,737
차지,737
들어오다,737
석유,736
전반,735
배양,735
차질,734
장비,733
인터넷,733
대한,732
설명,731
베트남,731
경제인,730
분위기,730
소리,729
순방,729
우의,729
비하다,729
미치다,729
보건,729
합치다,728
동참,726
위상,726
공군,726
각오,725
교통,722
임무,720
개정,720
방지,720
거치다,720
대립,720
각자,719
불행,718
절대,715
의욕,715
지니다,715
공헌,715
나무,714
청소년,714
대구,712
치사,712
해방,712
총력,711
개편,711
지배,711
떠나다,711
소망,710
교훈,709
원동력,706
새마을,705
평등,704
처리,703
유신,703
반영,702
유공자,702
북방,696
무궁,696
완전,695
애쓰다,695
곳곳,694
노동자,694
일으키다,693
철저히,691
테러,690
중대,688
확장,686
신장,686
비상,685
상징,685
북괴,683
독재,682
치안,681
축제,680
대륙,680
가꾸다,679
회원국,678
경주,678
만족,678
중점,678
특별히,678
남기다,677
마무리,677
믿음,675
후보,675
공산주의자,674
예산안,673
당하다,672
기쁨,672
언제나,672
일반,670
불편,669
지적,668
권리,668
중립,667
올바르다,667
형성,667
빌리다,666
분열,664
주력,663
기준,662
비판,662
거리,661
만찬,660
요소,660
보험,660
해군,658
마치다,658
연합,658
타협,657
주의,656
걸리다,656
공조,656
동북아시아,655
파괴,653
빈곤,652
당장,652
향토,652
분명,651
안녕,650
업무,650
가하다,649
뭉치다,649
청산,649
세계인,648
부동산,648
이름,648
자부심,647
불법,647
하늘,642
들어서다,641
점검,639
청와대,639
각계,638
성실,637
상승,636
부모,635
조화,634
건국,634
기존,631
흔들리다,631
영원,631
당국,630
재산,630
결단,629
당당,627
강구,627
개헌,626
문명,624
생태,624
내부,624
공식,623
치열,623
지구촌,623
심화,622
집행,622
불교,622
조속히,619
인도네시아,616
긴밀히,616
오직,615
멀리,614
촉구,613
기념식,613
시절,612
모색,612
주한,612
직면,611
담당,611
군인,610
정치인,610
순간,609
업적,608
수지,605
임시,604
그러하다,604
증산,604
군대,601
그만큼,601
보편,600
아마,599
창설,599
기틀,599
절약,598
대북,598
물결,597
대외,597
일관,595
의무,594
협동,594
저축,594
운명,593
비록,593
매년,592
상공인,592
떨어지다,592
소위,590
고려,590
제정,590
은행,588
경찰관,588
태도,587
설립,587
전자,587
정비,586
풍요,586
비용,585
버리다,583
이바지,582
소통,581
사명감,581
여전히,579
추세,578
예방,578
뉴딜,577
스포츠,576
기도,575
여론,575
통상,574
고난,574
수소,573
영예,573
역내,573
바이오,572
기조,572
돌이키다,571
취약,571
진흥,570
실업,570
가속,568
시정,568
투입,568
상당,567
상당히,565
원인,564
분쟁,564
진정,563
농어민,562
명심,562
인천,560
반세기,559
필수,559
물류,559
책무,558
실패,557
축사,557
회사,556
스마트,555
의존,555
여기다,554
절차,554
중동,554
중단,552
유대,552
되새기다,552
기다리다,552
구성,551
비극,551
되찾다,551
선열,551
원조,551
공존,550
걸음,548
공간,547
원천,546
보도,545
달하다,545
관행,543
간접,543
사항,543
확실히,542
북핵,542
안심,540
유일,540
동계,539
유가족,539
긍정,538
힘들다,538
채택,537
체질,537
총재,537
지난날,536
모시다,536
통과,536
일행,536
발굴,536
좌우,534
평창,534
완공,534
아프다,533
축복,532
직결,531
하나하나,530
강력히,530
박람회,530
수단,528
역대,527
대국,527
캐나다,526
인내,525
근면,525
철저,525
상대,525
우리,525
호국,524
넘어서다,524
대열,523
그때,522
구하다,522
유산,520
공산주의,519
돌아오다,519
의회,518
사정,517
편성,516
비리,515
회견,515
미사일,515
확고히,514
측면,513
오래,512
맞추다,512
역동,511
고비,511
일정,511
정리,510
비추다,510
그리다,509
마침내,509
존재,509
공약,508
중흥,508
덕분,507
셋째,506
아픔,506
원전,504
억제,504
세월,503
부응,502
어제,502
호주,502
부가,501
종교,501
고장,500
새로,499
애국심,499
흐르다,497
장벽,497
다니다,496
노선,496
다만,496
목숨,494
터전,494
차이,493
고치다,493
공부,492
융합,492
아침,492
합심,491
높아지다,491
공감,490
주인,489
자산,489
준공,488
실로,488
동서,488
세계사,488
목소리,488
교환,487
직장,486
무기,486
국난,485
조기,484
농가,484
가득,483
일선,483
아이디어,483
참가,483
역점,482
지표,480
현안,479
언제,478
책임지다,478
소명,478
눈부시다,478
불신,478
차별,477
끊임없이,476
거대,476
모델,476
실정,476
박수,475
수고,475
착수,475
금리,475
표명,474
멕시코,474
프로그램,474
재원,474
비핵,472
진실,472
제한,472
난관,472
소재,471
침체,471
취업,471
평생,471
국왕,470
비교,469
접종,469
원하다,468
부락,467
장군,467
영상,467
감동,466
굳건히,466
기지,466
민국,465
장애,464
박차,464
부품,463
침투,462
북미,461
대부분,460
값지다,460
과연,460
일원,459
급속,459
항공,458
병행,456
능동,456
조상,455
앞두다,454
국무,454
이렇게,453
결합,453
