키워드,빈도수
인간,228
반드시,228
사회주의,228
이미,228
다음,227
걸치다,227
고통,227
균형,227
야당,227
여야,226
부시,225
분명히,225
앞날,225
경험,224
인사,224
전통,224
규모,223
정도,223
누리다,223
내외,222
노사,221
능력,220
가슴,220
보다,220
금년,220
기반,219
세우다,218
소망,218
임기,217
기원,217
주장,217
회복,216
모스크바,215
경찰,214
수립,214
자율,214
회견,213
촉진,212
결코,212
잘못,212
동유럽,208
내리다,208
주도,208
원칙,207
장벽,205
전국,202
요구,201
성취,201
전망,200
약속,199
해소,199
조성,199
위협,199
기울이다,198
얼마나,198
국정,197
기쁘다,197
구체,197
가운데,197
깊이,196
성원,195
각계,195
우선,195
건강,194
자원,193
시민,192
한국인,191
부문,191
확인,191
관심,191
내년,190
사랑,190
해외,190
의미,190
헌신,188
급속,188
힘차다,188
포함,187
이웃,187
다짐,187
동북아,186
앞장서다,186
자주,186
이익,186
국토,185
멕시코,184
행복,184
현상,183
농어촌,183
불과,183
시설,183
자세,181
청산,181
출범,180
믿음,180
대한민국,180
협의,179
사태,179
위원,179
영향,179
다지다,179
유지,178
미치다,177
의회,177
젊은이,177
동북아시아,177
권위주의,176
확충,176
안전,176
대응,175
오르다,175
기쁨,175
준비,174
아래,174
성숙,173
전체,173
요인,173
경쟁,173
조치,172
민자당,172
직접,172
대처,171
향상,171
지난날,171
친애,170
다가오다,170
특별,170
수상,169
거두다,168
전기,168
당원,168
변하다,168
대전,167
부동산,167
협정,166
농촌,166
전환,166
긴장,166
가치,165
희생,165
취임,164
빠르다,163
상태,163
국내,162
전환기,162
용기,162
노선,162
자본,162
위기,161
환영,160
운영,160
최고,159
뭉치다,159
강조,159
총회,159
각종,159
총리,158
획기적,158
앞당기다,158
결실,157
구축,157
임금,157
진행,156
가르다,155
본격,154
내일,154
종합,154
동시,153
지난해,153
인력,152
미군,152
불행,152
자체,152
계층,152
정보,151
전하다,151
나서다,151
하루,151
다양,150
청와대,150
헌법,150
내각,150
끝나다,150
어린이,149
투기,149
사상,149
목표,149
공식,149
주민,149
모이다,148
무대,148
성과,148
당당,148
높이다,147
캐나다,147
차례,146
키우다,146
욕구,146
질문,145
공산,145
슬기,145
도로,144
거듭,144
무한,144
나가다,143
초청,143
흘리다,143
졸업,143
방법,141
시련,141
오늘날,141
분위기,140
핵무기,140
시책,140
받아들이다,139
비판,139
군사,138
비극,138
내부,138
농민,136
연구,136
우려,136
커지다,136
달라지다,135
보완,135
떠나다,135
보통,135
개최,135
공급,135
위치,134
민간,134
정세,133
너무,133
행동,133
펼치다,133
수행,132
신념,132
실질,132
모르다,132
승리,132
결단,131
민주자유당,131
무너지다,131
아울러,131
범죄,131
도약,130
종식,130
내외분,130
늘리다,130
총선,130
평양,129
바다,129
근본,129
이유,129
