키워드,빈도수
생태,25
반도체,25
구제,25
실정,25
방심,25
쟁취,25
반면,25
최루탄,25
공격,25
쇄국,25
일환,25
그룹,25
창업,25
든든하다,25
소식,25
유가,25
옮기다,25
닥치다,25
기꺼이,25
무려,25
장비,25
소위,25
수산,25
항구,25
학술,25
캄보디아,25
아마,25
레저,25
떠오르다,24
공업,24
교도소,24
서해안고속도로,24
실감,24
집단,24
표현,24
생사,24
상공,24
유감,24
유럽연합,24
아들,24
추호,24
손해,24
더구나,24
단일,24
낙관,24
지켜보다,24
소수,24
공부,24
접어들다,24
각별히,24
똑같다,24
약간,24
정계,24
하느님,24
산재,24
발판,24
가속,24
개장,24
학군,24
교사,24
대상국,24
유망,24
근간,24
대형,24
영웅,24
발달,24
고급,24
품질,24
공감대,24
희망차다,24
속히,24
독립운동,24
어우러지다,24
비상,24
인격,24
시일,24
항공기,24
보안법,24
잠시,23
세제,23
로마,23
호응,23
대한,23
중시,23
융자,23
타파,23
학벌,23
주간,23
팔리다,23
낙오,23
저해,23
동남아,23
물리다,23
접촉,23
학원,23
제주,23
성사,23
3국,23
절실히,23
식민,23
택하다,23
재원,23
줄기차다,23
순조,23
저명,23
가을,23
남북문제,23
망명,23
시드니,23
친절,23
나아지다,23
합동,23
조달,23
일등,23
대사,23
참되다,23
마음대로,23
진정하다,23
따뜻하다,23
위시,23
훌륭하다,23
관심사,23
체전,23
원자재,23
국제기구,23
선도자,23
회의소,23
급격히,23
변함없이,23
불안감,23
떨치다,23
연평,23
드높이다,23
부품,23
의의,23
맡기다,23
기아,23
부르다,23
증시,22
조장,22
취득,22
또다시,22
목포,22
쓰러지다,22
우대,22
그날,22
퇴치,22
단축,22
소요,22
금창리,22
비중,22
이집트,22
며칠,22
정국,22
부자,22
엑스포,22
속담,22
즐기다,22
점차,22
던지다,22
백성,22
붕괴,22
유수,22
근면,22
훌륭히,22
소망,22
이뤄지다,22
만반,22
전하,22
침투,22
막강,22
영향력,22
물자,22
한마음,22
귀감,22
저지,22
살아오다,22
업체,22
인기,22
보유국,22
여사,22
인명,22
피하다,22
달러,22
활짝,22
때로,22
빛내다,22
혼자,22
표하다,22
다녀오다,22
돌아보다,22
무사히,22
지사,22
말엽,22
선조,22
따라서다,22
완료,22
감각,22
여부,22
고향,22
타협,22
영역,22
감축,22
울산,21
돌보다,21
가르침,21
제약,21
두려움,21
실망,21
근거,21
왕따,21
소용,21
경기도,21
혈맹,21
호기,21
연계,21
광범위,21
편안,21
전례,21
기상,21
대덕,21
낮추다,21
더없이,21
풀리다,21
강원,21
철수,21
자라다,21
폐쇄,21
부천,21
밀접,21
여왕,21
심의,21
특정,21
상생,21
재계,21
시험,21
신인도,21
시카고,21
대가,21
이동,21
광복,21
상처,21
운용,21
사관학교,21
처벌,21
식견,21
다그다,21
새삼,21
페르손,21
발굴,21
배경,21
개성,21
방일,21
파급,21
향후,21
준공,21
공관장,21
지평,21
착공,21
서신,21
퍼지다,21
다루다,21
학습,21
상해,21
확정,21
건투,21
퇴출,21
당초,21
테두리,21
터전,21
한계,21
언급,20
기본법,20
주시,20
판문점,20
친화,20
경남,20
맞추다,20
육군사관학교,20
긴급,20
일괄,20
벅차다,20
추모,20
따로,20
양자,20
유명,20
교실,20
실직자,20
경영자,20
보유액,20
개별,20
이내,20
공평,20
출신,20
분기,20
재학,20
복합,20
동양,20
아태,20
응징,20
조찬,20
가용,20
구국,20
보장법,20
심리,20
새마을,20
뛰어넘다,20
이득,20
더불어,20
찾아오다,20
모시다,20
악용,20
부총리,20
후보,20
활약,20
메가와티,20
주로,20
에콰도르,20
지나가다,20
도태,20
경감,20
제휴,20
조짐,20
회계,20
전환점,20
경상,20
자비,19
상향,19
사형,19
형제,19
공예,19
직후,19
관문,19
아동,19
편의,19
공영,19
전남,19
중심축,19
공직,19
심포지엄,19
대남,19
교육자,19
신설,19
박차,19
일소,19
뉴욕,19
지휘관,19
다각,19
만델라,19
압도,19
나중,19
생업,19
경사,19
결론,19
배분,19
비행기,19
후퇴,19
경제난,19
만연,19
공군사관학교,19
인터폴,19
격변기,19
이달,19
베이징,19
만주,19
종래,19
음악,19
제조업,19
책임자,19
게을리,19
앙골라,19
알차다,19
홍수,19
심각하다,19
살피다,19
감수,19
자원봉사,19
강원도,19
신년,19
그림자,19
일단,19
아우르다,19
남성,19
본연,19
영토,19
개국,19
생겨나다,19
형식,19
값싸다,19
정치인,19
벌어지다,19
총리대신,19
전달,19
분노,19
컨테이너,19
북녘,19
오시다,19
부도,18
발행,18
동력,18
파악,18
자국,18
코스타리카,18
크나크다,18
부진,18
신명,18
훼손,18
베네수엘라,18
막히다,18
인연,18
비료,18
국제회의,18
피땀,18
숭고하다,18
공익,18
보고서,18
임원,18
해이,18
개성공단,18
수송,18
모금,18
신화,18
배정,18
전역,18
낙후,18
장보고,18
독특,18
체감,18
철통,18
사절단,18
충만,18
굴하다,18
도달,18
민추협,18
나이,18
이산,18
궁금하다,18
재외,18
후진국,18
칭찬,18
마약,18
결단코,18
남용,18
원만히,18
취지,18
충고,18
임용,18
에티오피아,18
전후,18
소홀,18
약하다,18
원활,18
둔화,18
전투기,18
세계사,18
향유,18
봉사자,18
이정표,18
실직,18
상대방,18
확장,18
담보,18
양면,18
자만,18
귀하,18
적격,18
사의,18
회수,18
민간인,18
시의,18
참모,18
민원,18
수렴,18
증거,18
가슴속,18
약화,18
제주도,17
청렴,17
후반,17
유역,17
공연,17
유대감,17
컨텐츠,17
보탬,17
와히드,17
코리아,17
불황,17
이사장,17
보건,17
기치,17
남북정상회담,17
권고,17
국제통화기금,17
공산주의자,17
담기다,17
왜곡,17
학연,17
공통점,17
라운드,17
자라나다,17
경축,17
물류비,17
