키워드,빈도수
유익,38
상대,38
포기,38
충격,38
흐르다,38
해내다,38
발상,37
공간,37
이바지,37
안심,37
국익,37
뛰어나다,37
유산,37
의사,37
지나치다,37
경협,37
급속,37
세제,37
평생,37
남미,37
외면,37
바르다,37
퍼센트,37
외환,37
목숨,37
가난,37
해방,37
물려주다,37
공감대,37
식량난,37
난관,36
박차,36
한미,36
호소,36
대부분,36
사의,36
능률,36
반대,36
공헌,36
완벽,36
장치,36
잠수함,36
강력히,36
임시,36
애정,36
발돋움,36
베를린,36
무기,36
존엄,36
기다리다,36
살아가다,35
난국,35
전화위복,35
섬유,35
날로,35
살아남다,35
장벽,35
점진,35
이전,35
수용,35
여당,35
집권,35
되살리다,35
자녀,35
상당,35
소중하다,35
관심사,35
식량,35
반성,35
유일,35
순간,35
책임지다,35
걸맞다,35
다행,35
경축,35
끊임없이,35
간곡히,35
뭉치다,35
통제,35
베풀다,35
옐친,35
세상,35
시애틀,34
선정,34
못지않다,34
비중,34
최소,34
열망,34
교수,34
극대,34
거리,34
누적,34
분발,34
자존,34
국무,34
영원히,34
급변,34
명심,34
결집,34
자기,34
용의,34
숱하다,34
방송인,34
다하다,34
불신,34
체전,34
자질,34
보상,34
제안,33
추가,33
동서,33
위험,33
공조,33
주인공,33
선출,33
벌이다,33
머물다,33
영도,33
설립,33
그만큼,33
경제난,33
맡기다,33
식민,33
창출,33
저축,33
되풀이,33
어제,33
주택,33
바라보다,33
마음껏,33
만전,33
신임,33
혜택,33
윤리,33
불굴,33
형태,33
농림,33
애국심,33
결속,33
중미,33
주인,33
간절히,32
민주평통,32
쇄신,32
현안,32
요즘,32
고장,32
국빈,32
감회,32
따로,32
우주,32
맞추다,32
설계,32
가로막다,32
일각,32
축복,32
통신망,32
호응,32
하시모토,32
신설,32
군사력,32
가르치다,32
돌리다,32
오랫동안,32
그대로,32
가시,32
건물,32
시정,32
들어서다,32
남다르다,31
제한,31
기존,31
거의,31
움직이다,31
근무,31
인구,31
특성,31
학문,31
항공,31
일방,31
선수,31
제반,31
국교,31
편안,31
감명,31
수산업,31
벌어지다,31
과연,31
표명,31
이름,31
빠지다,31
전문가,31
직시,31
문제점,31
묵묵히,31
걸림돌,31
확고하다,31
축제,31
서민,31
돌이키다,31
도모,31
소유,30
예산안,30
허용,30
배려,30
사전,30
성실히,30
그리다,30
급속히,30
꽃피우다,30
붕괴,30
철거,30
특정,30
공업,30
취지,30
교육자,30
농민,30
벤처,30
어민,30
진정하다,30
원천,30
장비,30
축소,30
심혈,30
유도,30
환대,30
기꺼이,30
직무,30
동맹,30
당당히,30
조선,30
사례,30
처우,30
아무쪼록,30
대신,30
한계,29
공존공영,29
끊임없다,29
단호히,29
재일,29
자라다,29
착수,29
차이,29
선조,29
가까이,29
자산,29
브라질,29
침략,29
기독교,29
검찰,29
언론인,29
머리,29
위원장,29
법조,29
위대하다,29
권리,29
거부,29
움직임,29
업적,29
뉴질랜드,29
성역,29
공부,29
제출,29
공감,29
청사,29
명령,29
전화,29
