키워드,빈도수
난국,135
앞장,135
호국,135
방식,134
강하다,134
유엔,134
대중,134
궁극,134
추세,133
성의,133
의사,133
흐르다,133
가난,133
방안,133
당국,133
의견,132
들어서다,132
기억,132
기쁨,132
세기,132
전화,132
알맞다,132
예상,132
그야말로,132
세금,131
억제,131
설명,131
국방력,131
주택,131
치안,130
새삼,130
기념,130
뜻깊다,130
원인,130
만행,130
부산,130
포장,129
기업인,129
적어도,129
동란,129
선양,129
원료,129
나서다,128
물자,128
체력,128
고치다,128
교류,128
옛날,128
영원,128
아침,127
되풀이,127
상승,127
어민,127
오르다,127
담화문,127
경비,126
막강,126
존중,126
비롯하다,126
수도,126
미군,125
폭력,125
공격,125
전술,125
일대,125
발전소,125
우의,125
시키다,125
어린이,125
실적,125
키우다,124
발달,124
요즈음,124
전략,124
지혜,124
미치다,124
쇄신,124
물건,123
분열,123
시일,123
한층,123
흔히,123
확인,123
치열,122
마지막,122
연결,122
지표,122
한글,121
하여금,121
착공,121
받아들이다,121
고비,121
주요,121
자행,120
완전,120
벗어나다,120
사정,120
휴전선,120
요소,120
선박,120
만족,120
실질,119
상징,119
정립,119
특수,119
도민,119
걱정,119
구상,119
약속,119
이끌다,119
한일,119
가속,119
오로지,118
제반,118
이하,118
협상,118
명랑,118
항시,118
의료,118
하나하나,118
계승,118
경기,118
형편,117
최대,117
신뢰,117
제국,117
일단,117
역점,117
임하다,117
위험,117
본격,117
다니다,117
축산,117
변하다,117
포함,116
성명,116
중앙,116
철저히,116
노동,116
장차,115
능히,115
통계,115
예정,115
기공식,115
인민,115
조정,115
직면,115
나머지,115
건강,115
무궁,114
혁신,114
자라다,114
멀리,114
투입,114
중소기업,114
남한,113
모범,113
벅차다,113
개량,113
이름,113
작물,113
보리,113
위로,113
수상자,113
기조,113
옮기다,112
처우,112
지난날,112
검소,112
오래,112
내다보다,112
말미암다,112
인상,111
뒤떨어지다,111
경향,111
통신,111
부탁,111
기필코,111
바다,111
가치,111
저해,111
더우기,111
차원,111
거리,111
게릴라,110
보완,110
참석,110
수단,110
유우엔,109
타개,109
떠나다,109
형성,109
맞이하다,109
소신,109
고무,109
약진,109
자동차,109
발표,108
상황,108
지난해,108
인력,108
중심,108
선조,108
수해,108
자급,108
기업체,108
특별히,108
산림,107
준공식,107
초기,107
전투,107
속도,107
열리다,106
후방,106
긴급,106
현명,106
민족중흥,106
정하다,106
거부,106
도상,106
간곡히,106
제시,106
좌우,106
널리,106
고통,105
어떠하다,105
되찾다,105
구국,105
기지,105
직원,105
충무공,105
절실히,105
입증,105
수상,104
정열,104
농협,104
애국심,104
무기,104
인천,104
국위,104
실패,104
지적,104
날로,104
기습,103
주한,103
부패,103
가을,103
권리,103
걸리다,103
지대,103
학도,103
일제,103
소련,102
책무,102
방송,102
너무나,102
따지다,102
처리,102
그치다,101
기상,101
대의원,101
부분,101
청소년,101
불굴,101
살리다,101
내부,101
외자,100
인정,100
정녕,100
나누다,100
함양,100
튼튼히,100
병행,100
금융,100
군수,100
숙원,100
열심히,100
발족,99
부르다,99
폐하,99
호소,99
놓이다,99
진작,99
교포,99
부여,99
간직,99
끊임없다,99
사관,99
승공,98
선진국,98
전도,98
도저히,98
선포,98
종업원,98
달리,98
지하,98
우리,98
초과,98
영원히,98
각기,97
적십자사,97
떨어지다,97
강요,97
의장,97
표시,97
받들다,97
마치,96
결속,96
만일,96
새로,96
주의,96
파동,96
철통,96
가령,96
급속히,96
순간,96
진영,96
제거,96
확고히,95
내자,95
시도,95
빠지다,95
데모,95
진전,95
이룩,95
바꾸다,95
유역,95
심지어,95
일체,95
지위,95
넘기다,94
세계사,94
보급,94
우정,94
평균,94
진출,93
달하다,93
그때,93
값지다,93
역경,93
지나가다,93
귀하,93
운용,93
정통,93
결론,93
비약,93
걸음,93
약간,93
경축,93
신임,93
농토,92
각성,92
달라지다,92
올바로,92
올해,92
공부,92
언제,92
조선소,92
모임,91
아까,91
합의,91
경지,91
사의,91
석탄,91
물질,91
표현,91
기도,91
격퇴,91
차례,91
거치다,91
제출,91
자발,91
일찍이,91
원래,90
은행,90
세월,90
풍조,90
윤리,90
위원회,90
애호,89
임금,89
지나치다,89
여기다,89
각별,89
친선,89
제한,89
계상,89
개최,89
기념일,89
