,국민,정부,경제,생각,문제,사회,발전,한국,사람,대통령,협력,지금,세계,나라,국가,평화,정책,말씀,정치,감사,역사,기업,노력,시장,참여,시대,관계,지역,기술,혁신,이제,축하,민주주의,성공,모두,문화,투자,오늘,성장,해결,중요,개혁,미래,존경,산업,추진,필요,동북아,수준,지방,언론,얘기,자리,지원,양국,각하,제도,번영,가장,전략,분야,대화,동안,이번,적극,교육,국회,자유,경쟁력,미국,국제,정상,기대,개발,가능,한반도,확대,대한민국,중심,권력,통합,다음,신뢰,시민,안정,회담,남북,과학,기회,변화,귀빈,균형,진심,책임,경쟁,지속,북한,도시,선거,사실,환경,합의,정보,일본,역할,기원,서로,위기,사업,원칙,최선,과제,강화,이상,과정,투명,계속,공동,물론,역량,올해,내외,결과,북핵,건강,공정,희망,상황,극복,마음,구조,평가,안보,전쟁,질서,가치,지도자,관리,중국,관심,이후,건설,스스로,성과,계획,개방,대학,타협,중소기업,교류,기여,인사,국정,회의,준비,시간,갈등,메시지,정말,복지,조금,민주,연구,서비스,방문
지원,26.0,160.0,42.0,16.0,25.0,57.0,60.0,33.0,16.0,7.0,51.0,5.0,22.0,25.0,49.0,32.0,44.0,9.0,2.0,11.0,2.0,70.0,40.0,33.0,25.0,8.0,11.0,52.0,74.0,63.0,0.0,3.0,0.0,25.0,3.0,29.0,70.0,4.0,25.0,14.0,14.0,14.0,14.0,4.0,55.0,40.0,23.0,11.0,17.0,40.0,1.0,7.0,4.0,0.0,5.0,5.0,42.0,7.0,0.0,15.0,26.0,10.0,2.0,11.0,93.0,43.0,12.0,11.0,25.0,9.0,37.0,3.0,7.0,75.0,13.0,10.0,77.0,3.0,19.0,2.0,5.0,10.0,3.0,6.0,13.0,5.0,8.0,17.0,13.0,4.0,0.0,11.0,2.0,4.0,16.0,21.0,41.0,30.0,5.0,3.0,14.0,4.0,13.0,10.0,7.0,1.0,1.0,7.0,36.0,5.0,32.0,6.0,33.0,5.0,9.0,4.0,3.0,10.0,1.0,15.0,10.0,2.0,3.0,5.0,6.0,5.0,4.0,5.0,1.0,4.0,13.0,5.0,2.0,3.0,0.0,3.0,0.0,6.0,4.0,21.0,5.0,18.0,1.0,12.0,26.0,12.0,17.0,0.0,45.0,6.0,5.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,0.0,22.0,0.0,0.0,33.0,48.0,2.0
양국,66.0,27.0,164.0,61.0,43.0,13.0,126.0,50.0,2.0,47.0,313.0,10.0,31.0,41.0,7.0,79.0,10.0,6.0,6.0,18.0,22.0,18.0,32.0,25.0,11.0,35.0,164.0,23.0,24.0,3.0,3.0,8.0,7.0,13.0,13.0,21.0,34.0,43.0,10.0,31.0,22.0,8.0,67.0,42.0,11.0,16.0,9.0,51.0,11.0,1.0,0.0,4.0,46.0,5.0,0.0,50.0,7.0,57.0,0.0,9.0,44.0,22.0,12.0,42.0,18.0,2.0,0.0,7.0,3.0,8.0,17.0,61.0,38.0,9.0,12.0,22.0,59.0,2.0,5.0,0.0,6.0,1.0,10.0,0.0,10.0,38.0,1.0,13.0,20.0,1.0,23.0,4.0,6.0,3.0,3.0,9.0,25.0,0.0,0.0,5.0,4.0,33.0,11.0,32.0,14.0,15.0,26.0,1.0,17.0,12.0,4.0,5.0,24.0,6.0,2.0,4.0,2.0,64.0,2.0,1.0,21.0,8.0,12.0,11.0,20.0,2.0,14.0,3.0,1.0,16.0,8.0,3.0,2.0,4.0,3.0,2.0,38.0,0.0,10.0,10.0,17.0,10.0,0.0,5.0,1.0,6.0,1.0,0.0,2.0,69.0,16.0,3.0,0.0,2.0,6.0,4.0,6.0,0.0,0.0,1.0,1.0,2.0,8.0,1.0,31.0
각하,107.0,24.0,42.0,33.0,9.0,11.0,83.0,34.0,0.0,198.0,47.0,9.0,19.0,103.0,42.0,35.0,22.0,22.0,8.0,74.0,4.0,4.0,18.0,4.0,0.0,4.0,33.0,6.0,1.0,5.0,3.0,10.0,4.0,15.0,3.0,9.0,6.0,71.0,21.0,6.0,2.0,27.0,7.0,142.0,1.0,21.0,1.0,2.0,1.0,3.0,0.0,0.0,30.0,5.0,50.0,0.0,1.0,54.0,0.0,5.0,10.0,3.0,5.0,21.0,10.0,2.0,0.0,4.0,0.0,0.0,5.0,56.0,9.0,5.0,1.0,11.0,14.0,10.0,6.0,0.0,4.0,0.0,2.0,2.0,11.0,61.0,2.0,2.0,5.0,0.0,191.0,1.0,71.0,0.0,0.0,10.0,4.0,2.0,1.0,1.0,1.0,3.0,0.0,4.0,8.0,8.0,1.0,3.0,4.0,2.0,0.0,3.0,4.0,3.0,1.0,0.0,3.0,3.0,1.0,8.0,8.0,104.0,4.0,5.0,59.0,1.0,3.0,0.0,5.0,4.0,0.0,2.0,1.0,3.0,1.0,1.0,7.0,0.0,10.0,25.0,19.0,9.0,0.0,13.0,2.0,5.0,0.0,0.0,0.0,6.0,9.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0,3.0,3.0,0.0,0.0,43.0
제도,77.0,62.0,32.0,46.0,59.0,67.0,33.0,22.0,30.0,46.0,27.0,20.0,10.0,21.0,45.0,23.0,34.0,8.0,81.0,6.0,6.0,19.0,17.0,30.0,16.0,15.0,12.0,35.0,17.0,24.0,5.0,0.0,56.0,10.0,6.0,23.0,20.0,0.0,8.0,27.0,14.0,84.0,14.0,3.0,9.0,24.0,34.0,7.0,17.0,17.0,23.0,12.0,2.0,42.0,7.0,1.0,0.0,8.0,0.0,3.0,16.0,7.0,4.0,6.0,12.0,45.0,25.0,22.0,7.0,9.0,15.0,6.0,7.0,12.0,17.0,10.0,25.0,2.0,6.0,35.0,11.0,13.0,10.0,10.0,6.0,1.0,6.0,3.0,2.0,12.0,0.0,9.0,0.0,6.0,14.0,10.0,9.0,6.0,38.0,7.0,7.0,5.0,4.0,13.0,4.0,0.0,1.0,6.0,18.0,5.0,3.0,9.0,9.0,7.0,13.0,24.0,4.0,4.0,2.0,4.0,7.0,0.0,9.0,1.0,5.0,11.0,4.0,8.0,7.0,1.0,15.0,16.0,0.0,7.0,6.0,7.0,2.0,7.0,0.0,12.0,3.0,3.0,3.0,7.0,9.0,9.0,24.0,3.0,7.0,4.0,5.0,7.0,8.0,0.0,8.0,3.0,7.0,0.0,0.0,8.0,0.0,8.0,6.0,16.0,2.0
번영,76.0,61.0,62.0,18.0,75.0,37.0,64.0,73.0,7.0,19.0,118.0,3.0,56.0,85.0,16.0,544.0,60.0,7.0,4.0,4.0,15.0,3.0,29.0,15.0,41.0,149.0,35.0,42.0,10.0,2.0,5.0,3.0,33.0,22.0,10.0,9.0,4.0,11.0,7.0,49.0,8.0,17.0,48.0,22.0,3.0,41.0,11.0,189.0,1.0,2.0,0.0,7.0,10.0,7.0,57.0,54.0,8.0,0.0,0.0,4.0,3.0,21.0,5.0,19.0,33.0,1.0,1.0,16.0,2.0,16.0,19.0,17.0,27.0,5.0,11.0,109.0,5.0,18.0,13.0,0.0,11.0,4.0,9.0,3.0,32.0,9.0,29.0,1.0,3.0,1.0,42.0,6.0,2.0,7.0,7.0,15.0,50.0,6.0,0.0,0.0,2.0,17.0,8.0,42.0,27.0,6.0,11.0,1.0,6.0,4.0,9.0,6.0,7.0,2.0,1.0,8.0,3.0,133.0,2.0,4.0,1.0,21.0,4.0,15.0,41.0,4.0,19.0,2.0,8.0,6.0,4.0,6.0,10.0,13.0,24.0,5.0,15.0,1.0,9.0,6.0,3.0,5.0,1.0,2.0,4.0,13.0,0.0,1.0,0.0,8.0,49.0,0.0,9.0,8.0,8.0,2.0,8.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0
가장,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전략,31.0,100.0,73.0,56.0,34.0,72.0,128.0,33.0,37.0,28.0,26.0,13.0,24.0,9.0,127.0,20.0,42.0,30.0,17.0,1.0,10.0,55.0,11.0,42.0,46.0,28.0,32.0,48.0,61.0,113.0,5.0,0.0,11.0,24.0,7.0,14.0,63.0,3.0,58.0,5.0,26.0,19.0,33.0,5.0,41.0,57.0,44.0,37.0,10.0,33.0,8.0,4.0,4.0,15.0,9.0,5.0,3.0,4.0,0.0,0.0,12.0,4.0,2.0,6.0,19.0,12.0,6.0,5.0,24.0,17.0,3.0,2.0,8.0,19.0,19.0,12.0,6.0,14.0,27.0,2.0,20.0,15.0,8.0,1.0,16.0,2.0,3.0,25.0,7.0,16.0,5.0,50.0,0.0,5.0,8.0,26.0,3.0,7.0,5.0,6.0,23.0,9.0,2.0,2.0,0.0,0.0,1.0,6.0,12.0,22.0,8.0,17.0,16.0,7.0,5.0,4.0,1.0,12.0,2.0,11.0,4.0,5.0,2.0,3.0,7.0,7.0,4.0,8.0,12.0,8.0,6.0,8.0,22.0,11.0,4.0,23.0,5.0,5.0,12.0,1.0,4.0,8.0,8.0,7.0,20.0,11.0,7.0,12.0,14.0,1.0,2.0,1.0,6.0,6.0,5.0,0.0,3.0,0.0,0.0,15.0,0.0,2.0,7.0,12.0,0.0
분야,26.0,43.0,98.0,25.0,15.0,61.0,37.0,45.0,11.0,13.0,230.0,11.0,56.0,37.0,30.0,4.0,9.0,24.0,25.0,1.0,3.0,32.0,14.0,18.0,8.0,10.0,26.0,7.0,107.0,23.0,2.0,1.0,1.0,13.0,4.0,65.0,65.0,6.0,33.0,3.0,7.0,13.0,10.0,4.0,65.0,23.0,12.0,4.0,28.0,3.0,0.0,5.0,5.0,26.0,44.0,10.0,16.0,3.0,0.0,12.0,0.0,9.0,3.0,19.0,11.0,36.0,0.0,3.0,30.0,1.0,9.0,11.0,28.0,43.0,16.0,2.0,64.0,3.0,15.0,1.0,5.0,16.0,6.0,2.0,3.0,12.0,9.0,55.0,5.0,8.0,3.0,3.0,0.0,2.0,15.0,13.0,3.0,11.0,0.0,4.0,24.0,13.0,37.0,1.0,8.0,0.0,3.0,0.0,28.0,4.0,4.0,4.0,38.0,2.0,3.0,6.0,0.0,17.0,2.0,6.0,7.0,2.0,3.0,1.0,0.0,5.0,8.0,0.0,1.0,0.0,10.0,4.0,13.0,0.0,1.0,5.0,2.0,8.0,7.0,9.0,6.0,39.0,1.0,11.0,12.0,11.0,5.0,3.0,10.0,35.0,5.0,2.0,5.0,7.0,2.0,0.0,5.0,0.0,0.0,20.0,0.0,2.0,19.0,27.0,7.0
대화,37.0,65.0,25.0,59.0,145.0,79.0,25.0,39.0,31.0,48.0,84.0,11.0,4.0,17.0,9.0,119.0,32.0,15.0,51.0,4.0,1.0,7.0,32.0,9.0,26.0,21.0,39.0,18.0,6.0,3.0,9.0,0.0,61.0,25.0,15.0,62.0,4.0,18.0,1.0,120.0,8.0,15.0,6.0,12.0,2.0,19.0,25.0,14.0,9.0,3.0,5.0,12.0,19.0,10.0,22.0,3.0,7.0,21.0,0.0,4.0,9.0,0.0,11.0,10.0,18.0,1.0,14.0,6.0,2.0,26.0,15.0,26.0,15.0,2.0,22.0,35.0,4.0,1.0,1.0,4.0,21.0,11.0,65.0,4.0,13.0,36.0,47.0,1.0,12.0,6.0,5.0,7.0,0.0,15.0,13.0,12.0,83.0,1.0,4.0,5.0,1.0,37.0,5.0,39.0,12.0,3.0,19.0,3.0,6.0,62.0,4.0,12.0,1.0,2.0,16.0,36.0,7.0,18.0,2.0,0.0,3.0,2.0,13.0,41.0,1.0,29.0,11.0,10.0,12.0,9.0,5.0,5.0,11.0,7.0,5.0,5.0,3.0,2.0,14.0,8.0,9.0,5.0,0.0,5.0,4.0,11.0,2.0,201.0,1.0,12.0,9.0,5.0,32.0,11.0,6.0,11.0,26.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,10.0
동안,62.0,68.0,44.0,28.0,44.0,22.0,39.0,43.0,19.0,45.0,17.0,9.0,16.0,23.0,11.0,15.0,20.0,26.0,27.0,15.0,12.0,8.0,29.0,12.0,32.0,14.0,28.0,6.0,4.0,10.0,0.0,8.0,8.0,14.0,9.0,16.0,4.0,8.0,28.0,13.0,6.0,18.0,2.0,12.0,7.0,10.0,8.0,5.0,8.0,18.0,18.0,12.0,13.0,2.0,12.0,5.0,4.0,5.0,0.0,2.0,3.0,11.0,0.0,18.0,5.0,10.0,14.0,1.0,2.0,9.0,8.0,8.0,9.0,2.0,3.0,9.0,3.0,3.0,4.0,3.0,0.0,12.0,7.0,3.0,12.0,10.0,14.0,3.0,5.0,12.0,6.0,6.0,0.0,3.0,2.0,8.0,2.0,1.0,12.0,5.0,5.0,5.0,3.0,10.0,3.0,3.0,3.0,5.0,2.0,4.0,9.0,6.0,3.0,9.0,6.0,4.0,8.0,2.0,0.0,4.0,7.0,5.0,8.0,8.0,7.0,5.0,3.0,5.0,2.0,6.0,2.0,5.0,5.0,2.0,4.0,5.0,2.0,7.0,6.0,4.0,16.0,4.0,2.0,10.0,5.0,4.0,0.0,2.0,1.0,8.0,9.0,3.0,21.0,10.0,10.0,31.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,3.0,5.0
이번,38.0,46.0,56.0,50.0,34.0,15.0,47.0,34.0,10.0,32.0,114.0,7.0,23.0,16.0,22.0,38.0,11.0,24.0,17.0,26.0,15.0,11.0,14.0,4.0,8.0,5.0,38.0,13.0,14.0,15.0,1.0,25.0,0.0,39.0,42.0,15.0,22.0,4.0,9.0,7.0,13.0,18.0,18.0,10.0,7.0,9.0,9.0,6.0,5.0,11.0,4.0,6.0,17.0,11.0,42.0,21.0,6.0,19.0,0.0,6.0,19.0,10.0,18.0,0.0,11.0,3.0,24.0,3.0,0.0,9.0,9.0,43.0,53.0,8.0,13.0,12.0,16.0,9.0,4.0,1.0,2.0,12.0,6.0,6.0,7.0,42.0,17.0,9.0,23.0,1.0,2.0,6.0,2.0,7.0,2.0,4.0,4.0,7.0,23.0,3.0,5.0,26.0,3.0,7.0,3.0,47.0,5.0,2.0,13.0,3.0,9.0,9.0,17.0,3.0,8.0,5.0,0.0,17.0,0.0,3.0,5.0,2.0,4.0,5.0,16.0,0.0,12.0,1.0,4.0,4.0,6.0,4.0,5.0,3.0,0.0,2.0,6.0,2.0,10.0,8.0,2.0,4.0,0.0,20.0,12.0,1.0,5.0,3.0,8.0,13.0,10.0,13.0,3.0,69.0,13.0,18.0,3.0,2.0,0.0,3.0,0.0,0.0,4.0,0.0,82.0
적극,58.0,109.0,61.0,21.0,73.0,49.0,52.0,59.0,10.0,15.0,105.0,8.0,26.0,22.0,27.0,104.0,62.0,13.0,6.0,25.0,2.0,46.0,74.0,22.0,71.0,18.0,19.0,32.0,29.0,12.0,3.0,1.0,3.0,21.0,6.0,16.0,58.0,1.0,21.0,46.0,7.0,27.0,13.0,14.0,36.0,82.0,22.0,25.0,6.0,12.0,2.0,3.0,5.0,93.0,18.0,10.0,12.0,33.0,0.0,19.0,11.0,18.0,5.0,11.0,0.0,12.0,10.0,25.0,6.0,14.0,38.0,11.0,16.0,30.0,5.0,37.0,24.0,7.0,8.0,4.0,2.0,5.0,7.0,24.0,20.0,14.0,6.0,6.0,11.0,6.0,0.0,2.0,3.0,5.0,9.0,18.0,37.0,7.0,0.0,1.0,18.0,12.0,20.0,31.0,39.0,1.0,4.0,3.0,27.0,2.0,4.0,7.0,11.0,4.0,7.0,8.0,5.0,16.0,1.0,10.0,1.0,0.0,2.0,17.0,2.0,4.0,9.0,5.0,0.0,2.0,11.0,7.0,8.0,6.0,8.0,9.0,9.0,5.0,12.0,24.0,3.0,8.0,1.0,7.0,10.0,32.0,9.0,2.0,5.0,8.0,13.0,3.0,5.0,7.0,2.0,1.0,5.0,0.0,0.0,6.0,1.0,1.0,10.0,6.0,7.0
교육,48.0,34.0,32.0,30.0,41.0,67.0,33.0,25.0,54.0,10.0,21.0,17.0,22.0,49.0,35.0,1.0,43.0,16.0,2.0,3.0,9.0,26.0,11.0,8.0,6.0,6.0,7.0,14.0,19.0,40.0,0.0,6.0,15.0,29.0,6.0,49.0,34.0,6.0,15.0,10.0,12.0,27.0,16.0,6.0,27.0,21.0,29.0,0.0,38.0,22.0,2.0,12.0,1.0,43.0,2.0,2.0,45.0,1.0,0.0,12.0,36.0,1.0,10.0,3.0,12.0,0.0,5.0,2.0,44.0,6.0,20.0,5.0,6.0,13.0,11.0,0.0,24.0,5.0,19.0,1.0,6.0,20.0,5.0,34.0,14.0,1.0,1.0,21.0,42.0,4.0,5.0,4.0,4.0,3.0,13.0,11.0,0.0,18.0,1.0,4.0,38.0,2.0,22.0,0.0,2.0,1.0,1.0,10.0,10.0,8.0,4.0,8.0,24.0,4.0,32.0,4.0,5.0,3.0,0.0,7.0,1.0,4.0,37.0,0.0,23.0,8.0,9.0,5.0,1.0,6.0,9.0,4.0,1.0,0.0,0.0,6.0,0.0,2.0,0.0,4.0,0.0,6.0,0.0,10.0,6.0,4.0,77.0,1.0,3.0,11.0,2.0,1.0,1.0,2.0,3.0,3.0,6.0,2.0,0.0,36.0,3.0,1.0,17.0,31.0,3.0
국회,150.0,106.0,14.0,63.0,74.0,10.0,20.0,24.0,28.0,183.0,13.0,12.0,5.0,9.0,25.0,2.0,42.0,35.0,90.0,11.0,11.0,3.0,10.0,6.0,24.0,12.0,8.0,33.0,1.0,8.0,1.0,6.0,8.0,3.0,9.0,6.0,0.0,7.0,0.0,23.0,18.0,23.0,0.0,39.0,5.0,14.0,15.0,1.0,7.0,27.0,18.0,5.0,14.0,12.0,0.0,0.0,25.0,1.0,0.0,6.0,0.0,14.0,14.0,24.0,10.0,5.0,0.0,5.0,2.0,6.0,4.0,5.0,11.0,1.0,20.0,1.0,1.0,3.0,5.0,28.0,11.0,16.0,4.0,8.0,10.0,0.0,1.0,2.0,0.0,7.0,0.0,19.0,5.0,29.0,9.0,2.0,0.0,1.0,75.0,6.0,0.0,19.0,0.0,7.0,3.0,1.0,2.0,7.0,1.0,6.0,6.0,10.0,2.0,8.0,16.0,3.0,5.0,3.0,1.0,3.0,11.0,0.0,10.0,0.0,0.0,2.0,1.0,23.0,2.0,5.0,19.0,2.0,1.0,0.0,0.0,9.0,3.0,6.0,0.0,4.0,38.0,4.0,2.0,5.0,12.0,0.0,1.0,17.0,0.0,0.0,0.0,14.0,70.0,4.0,7.0,6.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
자유,55.0,37.0,100.0,34.0,39.0,58.0,29.0,37.0,81.0,19.0,24.0,11.0,43.0,42.0,36.0,73.0,9.0,7.0,26.0,3.0,15.0,21.0,24.0,129.0,23.0,19.0,15.0,30.0,10.0,6.0,1.0,4.0,93.0,10.0,15.0,6.0,19.0,14.0,16.0,13.0,19.0,13.0,11.0,10.0,6.0,46.0,16.0,11.0,5.0,1.0,86.0,21.0,6.0,11.0,7.0,4.0,22.0,16.0,0.0,5.0,3.0,6.0,1.0,3.0,25.0,2.0,5.0,0.0,9.0,18.0,12.0,8.0,5.0,10.0,12.0,8.0,14.0,5.0,9.0,39.0,8.0,4.0,4.0,22.0,5.0,4.0,1.0,1.0,8.0,3.0,5.0,2.0,1.0,2.0,43.0,11.0,10.0,7.0,10.0,16.0,7.0,3.0,5.0,20.0,9.0,1.0,2.0,6.0,4.0,7.0,1.0,4.0,9.0,3.0,2.0,17.0,4.0,6.0,0.0,1.0,7.0,5.0,9.0,1.0,3.0,62.0,5.0,2.0,5.0,0.0,4.0,8.0,3.0,18.0,18.0,17.0,2.0,2.0,3.0,2.0,5.0,1.0,4.0,3.0,6.0,21.0,5.0,4.0,2.0,5.0,9.0,0.0,3.0,4.0,3.0,3.0,3.0,1.0,0.0,2.0,0.0,19.0,7.0,2.0,2.0
경쟁력,36.0,46.0,78.0,32.0,12.0,61.0,40.0,28.0,37.0,3.0,11.0,15.0,74.0,40.0,103.0,1.0,15.0,5.0,4.0,0.0,1.0,75.0,19.0,56.0,10.0,36.0,5.0,13.0,85.0,66.0,3.0,0.0,8.0,13.0,8.0,42.0,30.0,4.0,29.0,2.0,12.0,16.0,12.0,1.0,83.0,14.0,7.0,4.0,29.0,29.0,2.0,9.0,4.0,25.0,3.0,0.0,7.0,2.0,0.0,24.0,30.0,2.0,2.0,0.0,6.0,44.0,2.0,9.0,0.0,4.0,21.0,0.0,3.0,13.0,16.0,0.0,13.0,4.0,7.0,0.0,11.0,4.0,0.0,2.0,18.0,0.0,0.0,34.0,13.0,2.0,3.0,7.0,0.0,0.0,17.0,21.0,2.0,16.0,0.0,5.0,16.0,0.0,16.0,4.0,1.0,0.0,0.0,6.0,5.0,2.0,8.0,9.0,65.0,4.0,2.0,11.0,1.0,2.0,2.0,9.0,5.0,3.0,4.0,0.0,11.0,11.0,7.0,4.0,6.0,1.0,16.0,14.0,0.0,1.0,1.0,8.0,0.0,4.0,3.0,5.0,2.0,2.0,1.0,2.0,3.0,12.0,31.0,1.0,27.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,4.0,0.0,0.0,9.0,1.0,2.0,7.0,29.0,0.0
미국,38.0,59.0,38.0,37.0,82.0,24.0,14.0,106.0,28.0,80.0,43.0,13.0,49.0,44.0,43.0,74.0,18.0,3.0,26.0,6.0,7.0,3.0,21.0,58.0,15.0,7.0,66.0,6.0,5.0,1.0,0.0,3.0,9.0,14.0,3.0,6.0,8.0,10.0,7.0,50.0,20.0,10.0,5.0,16.0,5.0,18.0,8.0,18.0,28.0,2.0,10.0,23.0,8.0,9.0,8.0,0.0,9.0,16.0,0.0,17.0,1.0,26.0,9.0,9.0,14.0,6.0,6.0,18.0,4.0,0.0,21.0,18.0,11.0,2.0,11.0,28.0,4.0,6.0,6.0,2.0,2.0,6.0,5.0,4.0,14.0,24.0,6.0,2.0,8.0,8.0,9.0,4.0,2.0,12.0,22.0,10.0,63.0,1.0,7.0,9.0,3.0,14.0,3.0,86.0,8.0,1.0,3.0,3.0,0.0,10.0,0.0,6.0,7.0,7.0,12.0,4.0,3.0,15.0,1.0,3.0,8.0,6.0,2.0,26.0,1.0,3.0,9.0,12.0,3.0,0.0,5.0,15.0,15.0,18.0,10.0,1.0,5.0,0.0,53.0,4.0,5.0,2.0,3.0,1.0,5.0,7.0,2.0,4.0,1.0,6.0,9.0,7.0,5.0,5.0,5.0,1.0,6.0,4.0,0.0,10.0,4.0,0.0,1.0,5.0,33.0
국제,18.0,41.0,55.0,43.0,73.0,186.0,34.0,57.0,9.0,13.0,89.0,12.0,42.0,36.0,33.0,80.0,14.0,8.0,6.0,10.0,4.0,12.0,43.0,23.0,22.0,5.0,47.0,11.0,17.0,15.0,2.0,39.0,7.0,14.0,5.0,13.0,6.0,10.0,9.0,46.0,15.0,10.0,7.0,26.0,11.0,13.0,10.0,21.0,19.0,3.0,2.0,2.0,14.0,37.0,17.0,5.0,15.0,19.0,0.0,3.0,9.0,15.0,8.0,9.0,38.0,20.0,4.0,12.0,21.0,21.0,0.0,15.0,14.0,15.0,4.0,25.0,12.0,4.0,15.0,0.0,0.0,5.0,15.0,6.0,19.0,7.0,12.0,9.0,2.0,3.0,15.0,3.0,12.0,18.0,7.0,9.0,72.0,28.0,2.0,3.0,6.0,6.0,3.0,26.0,31.0,4.0,2.0,3.0,5.0,6.0,3.0,4.0,18.0,4.0,3.0,17.0,2.0,25.0,1.0,7.0,6.0,14.0,1.0,18.0,2.0,4.0,9.0,7.0,2.0,1.0,2.0,23.0,2.0,9.0,22.0,8.0,8.0,4.0,9.0,12.0,5.0,1.0,0.0,6.0,5.0,14.0,2.0,0.0,0.0,11.0,10.0,2.0,0.0,27.0,0.0,2.0,3.0,15.0,0.0,1.0,1.0,1.0,6.0,3.0,5.0
정상,41.0,45.0,51.0,48.0,75.0,18.0,41.0,29.0,15.0,70.0,97.0,7.0,18.0,20.0,15.0,67.0,10.0,19.0,40.0,11.0,7.0,6.0,15.0,14.0,11.0,10.0,81.0,17.0,8.0,1.0,5.0,6.0,6.0,23.0,8.0,4.0,8.0,52.0,5.0,42.0,6.0,3.0,21.0,27.0,0.0,25.0,10.0,23.0,5.0,1.0,10.0,8.0,19.0,3.0,61.0,56.0,6.0,17.0,0.0,2.0,11.0,26.0,8.0,43.0,11.0,5.0,5.0,8.0,0.0,18.0,15.0,0.0,10.0,2.0,8.0,31.0,11.0,2.0,1.0,5.0,4.0,11.0,5.0,3.0,5.0,304.0,76.0,2.0,8.0,5.0,12.0,0.0,3.0,5.0,2.0,5.0,24.0,1.0,4.0,3.0,1.0,48.0,5.0,23.0,6.0,0.0,3.0,6.0,6.0,12.0,1.0,5.0,17.0,4.0,2.0,6.0,4.0,32.0,0.0,2.0,13.0,9.0,10.0,29.0,1.0,1.0,4.0,12.0,0.0,5.0,9.0,6.0,7.0,5.0,2.0,0.0,12.0,4.0,14.0,8.0,14.0,2.0,0.0,14.0,4.0,3.0,1.0,1.0,0.0,5.0,10.0,9.0,9.0,127.0,9.0,6.0,3.0,1.0,0.0,2.0,2.0,0.0,4.0,0.0,24.0
기대,70.0,29.0,45.0,23.0,46.0,32.0,50.0,45.0,11.0,15.0,96.0,5.0,29.0,22.0,10.0,76.0,14.0,3.0,15.0,5.0,11.0,18.0,18.0,11.0,12.0,11.0,26.0,24.0,19.0,6.0,1.0,1.0,3.0,19.0,11.0,28.0,13.0,9.0,12.0,34.0,7.0,13.0,22.0,10.0,10.0,21.0,4.0,23.0,10.0,8.0,8.0,2.0,19.0,7.0,38.0,9.0,7.0,27.0,0.0,8.0,28.0,15.0,9.0,53.0,16.0,6.0,11.0,5.0,3.0,11.0,14.0,10.0,0.0,4.0,9.0,24.0,24.0,9.0,7.0,0.0,6.0,1.0,5.0,2.0,10.0,19.0,6.0,13.0,14.0,8.0,2.0,6.0,3.0,7.0,5.0,10.0,22.0,4.0,4.0,3.0,3.0,12.0,8.0,22.0,32.0,10.0,8.0,1.0,10.0,1.0,9.0,6.0,11.0,16.0,2.0,5.0,2.0,18.0,1.0,6.0,6.0,0.0,15.0,14.0,11.0,3.0,15.0,9.0,3.0,4.0,0.0,9.0,1.0,3.0,5.0,5.0,9.0,0.0,1.0,18.0,2.0,12.0,1.0,25.0,2.0,5.0,2.0,3.0,2.0,24.0,17.0,0.0,2.0,18.0,3.0,12.0,5.0,1.0,0.0,0.0,1.0,2.0,9.0,2.0,9.0
